Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-8874.231079224797	-8875.26368374644	N	-8874.231079224797	-1.0326045216418254
1	-7254.546944727764	-7260.088906699117	2.0	-7254.546944727764	-5.541961971353057
2	-7082.375245920643	-7083.809173549622	3.0	-7082.375245920643	-1.4339276289795293
3	-6765.822476415145	-6771.42601531456	4.0	-6765.822476415145	-5.6035388994154305
4	-6764.286443192998	-6773.166500625712	4.5	-6764.286443192998	-8.880057432713313
5	-6622.816656651221	-6628.38558429655	4.0	-6622.816656651221	-5.568927645329749
6	-6600.582185773824	-6614.088184718905	4.1	-6600.582185773824	-13.505998945081041
7	-6589.648964752215	-6592.916101869507	4.3	-6589.648964752215	-3.2671371172922594
8	-6477.84002851607	-6483.976815797017	4.6	-6477.84002851607	-6.1367872809466215
9	-6452.241028087815	-6458.388144789207	3.2	-6452.241028087815	-6.147116701392376
10	-6432.469445895329	-6438.602778328947	3.3	-6432.469445895329	-6.133332433618476
11	-6429.833992821347	-6436.67610659431	3.2	-6429.833992821347	-6.8421137729630415
12	-6429.140856183045	-6434.797921479648	3.1	-6429.140856183045	-5.657065296602939
13	-6377.479105073581	-6383.8255225420035	3.2	-6377.479105073581	-6.346417468422171
14	-6372.38838056082	-6379.530353204668	3.2	-6372.38838056082	-7.141972643848334
15	-6370.965889748447	-6376.303616614101	3.3	-6370.965889748447	-5.337726865653762
16	-6362.893393658566	-6368.866735634404	3.3	-6362.893393658566	-5.973341975838007
17	-6362.880879113941	-6369.864373669698	3.4	-6362.880879113941	-6.983494555756598
18	-6357.541732040989	-6364.478903415371	3.4	-6357.541732040989	-6.937171374382157
19	-6355.0412238315175	-6362.589711964689	3.4	-6355.0412238315175	-7.548488133171002
20	-6353.342997896856	-6360.74425916222	3.4	-6353.342997896856	-7.401261265364557
21	-6341.983446300473	-6348.124163672954	3.5	-6341.983446300473	-6.140717372481116
22	-6341.927925996482	-6351.03721847051	3.6	-6341.927925996482	-9.10929247402769
23	-6337.615240042836	-6344.557404597348	3.7	-6337.615240042836	-6.942164554511763
24	-6337.272618929973	-6343.148199575829	3.8	-6337.272618929973	-5.875580645855928
25	-6335.891706117901	-6341.923274551729	3.9	-6335.891706117901	-6.031568433828425
26	-6335.734162730581	-6342.477799766503	3.9	-6335.734162730581	-6.743637035921887
27	-6332.4590201858	-6338.961998296233	4.0	-6332.4590201858	-6.502978110433549
28	-6330.651653403178	-6339.0561803065475	4.1	-6330.651653403178	-8.404526903369934
29	-6327.15998350876	-6332.46140502096	3.7	-6327.15998350876	-5.301421512200187
30	-6326.421610384985	-6332.922837647643	3.7	-6326.421610384985	-6.501227262658038
31	-6325.444202116285	-6331.797673045428	3.8	-6325.444202116285	-6.353470929143259
32	-6324.821673559116	-6330.960808528944	3.9	-6324.821673559116	-6.139134969827891
33	-6324.812256754588	-6332.366075973565	4.0	-6324.812256754588	-7.5538192189769395
34	-6323.7173739618775	-6329.351539297847	4.0	-6323.7173739618775	-5.634165335969744
35	-6323.6466069775515	-6330.3762944369555	4.1	-6323.6466069775515	-6.729687459404046
36	-6323.287687755369	-6330.922964495514	4.2	-6323.287687755369	-7.635276740145051
37	-6322.917084410761	-6329.678316590279	4.2	-6322.917084410761	-6.761232179517949
38	-6322.836346955226	-6329.057703420322	4.3	-6322.836346955226	-6.221356465095221
39	-6322.634275694178	-6328.602776199053	4.5	-6322.634275694178	-5.9685005048747435
40	-6322.447085671918	-6328.5139681278015	4.6	-6322.447085671918	-6.0668824558831815
41	-6322.384282529115	-6328.20983795012	4.6	-6322.384282529115	-5.825555421005083
42	-6322.368310724451	-6328.171298881583	4.7	-6322.368310724451	-5.802988157132435
43	-6322.342510571431	-6328.854438803277	4.8	-6322.342510571431	-6.511928231845484
44	-6322.209070399456	-6328.066723825294	4.8	-6322.209070399456	-5.857653425837485
45	-6322.170143827335	-6328.836477575868	4.9	-6322.170143827335	-6.66633374853328
46	-6322.166596195706	-6327.949454334314	5.0	-6322.166596195706	-5.782858138608626
47	-6322.123422611602	-6328.636974894823	5.0	-6322.123422611602	-6.5135522832207915
48	-6322.110910313952	-6327.994777135149	5.1	-6322.110910313952	-5.8838668211964755
49	-6322.087317419838	-6328.646510159732	4.8	-6322.087317419838	-6.559192739894668
50	-6322.06410050171	-6327.851494861141	4.9	-6322.06410050171	-5.787394359431447
51	-6322.054717886088	-6329.2947549153905	4.9	-6322.054717886088	-7.2400370293026395
52	-6322.046728068583	-6327.923043944734	5.0	-6322.046728068583	-5.876315876150109
53	-6322.04559271264	-6328.097971160328	5.1	-6322.04559271264	-6.052378447687532
54	-6322.044727002257	-6327.858624651407	5.2	-6322.044727002257	-5.813897649150022
55	-6322.042737284937	-6327.997958502967	5.2	-6322.042737284937	-5.955221218029612
56	-6322.042296513731	-6328.109130621998	5.3	-6322.042296513731	-6.066834108266621
57	-6322.042265787166	-6327.899989479042	5.4	-6322.042265787166	-5.857723691876618
58	-6322.0422257358605	-6327.853606049384	5.4	-6322.0422257358605	-5.811380313523426
59	-6322.039872361638	-6328.551846220834	5.5	-6322.039872361638	-6.511973859196102
