Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-8481.031206081665	-8487.17558768663	N	-8481.031206081665	-6.144381604965233
1	-8478.039179847206	-8485.124206793125	2.0	-8478.039179847206	-7.085026945918115
2	-7033.19346499778	-7052.184787810783	3.0	-7033.19346499778	-18.991322813002334
3	-6913.5725275248105	-6928.804721806435	4.0	-6913.5725275248105	-15.232194281624016
4	-6660.668479354556	-6678.329902016525	3.7	-6660.668479354556	-17.661422661968743
5	-6497.746205557674	-6516.108154346253	3.0	-6497.746205557674	-18.36194878857936
6	-6486.007226083767	-6499.88922865835	3.0	-6486.007226083767	-13.8820025745828
7	-6463.524963683594	-6482.120084352767	3.1	-6463.524963683594	-18.595120669172243
8	-6354.188344732629	-6368.501612321943	3.3	-6354.188344732629	-14.313267589313678
9	-6335.147928152229	-6345.0043910730765	4.4	-6335.147928152229	-9.85646292084748
10	-6266.002982803421	-6275.373679320411	4.6	-6266.002982803421	-9.370696516989298
11	-6259.377189581544	-6269.327183738307	4.8	-6259.377189581544	-9.949994156763061
12	-6234.91372703134	-6244.05919618492	4.8	-6234.91372703134	-9.14546915358043
13	-6232.080195228187	-6240.179629907315	4.8	-6232.080195228187	-8.099434679127974
14	-6201.689750489911	-6207.41366007545	4.9	-6201.689750489911	-5.723909585538891
15	-6154.2620265151345	-6161.42412925814	5.0	-6154.2620265151345	-7.162102743005471
16	-6151.913165275771	-6158.539889701463	5.0	-6151.913165275771	-6.626724425692029
17	-6145.5596414776655	-6152.515662586327	5.0	-6145.5596414776655	-6.956021108662079
18	-6126.553830852979	-6134.912347374261	5.0	-6126.553830852979	-8.35851652128155
19	-6125.799132007784	-6132.195447636891	3.2	-6125.799132007784	-6.396315629107341
20	-6124.476093250512	-6130.77545681614	3.2	-6124.476093250512	-6.299363565627129
21	-6123.277083689909	-6130.190153049589	3.3	-6123.277083689909	-6.913069359679853
22	-6119.84677774195	-6126.455973754441	3.3	-6119.84677774195	-6.609196012491012
23	-6118.80938653232	-6125.435832198456	3.4	-6118.80938653232	-6.626445666136708
24	-6113.55645475981	-6121.543470665453	3.5	-6113.55645475981	-7.987015905643603
25	-6112.092498176132	-6118.1233761686935	3.5	-6112.092498176132	-6.030877992561828
26	-6110.535358498464	-6116.720515564925	3.5	-6110.535358498464	-6.185157066460843
27	-6110.3979946492345	-6116.627902978828	3.6	-6110.3979946492345	-6.2299083295939965
28	-6110.188979379917	-6116.340836687224	3.7	-6110.188979379917	-6.1518573073066545
29	-6110.140762907624	-6118.535841595096	3.6	-6110.140762907624	-8.395078687472454
30	-6110.104128264885	-6117.134101527961	3.7	-6110.104128264885	-7.0299732630763785
31	-6110.088250116267	-6116.915464730933	3.8	-6110.088250116267	-6.827214614666495
32	-6110.053245865661	-6117.134195821835	3.8	-6110.053245865661	-7.080949956174639
33	-6110.018817558492	-6116.287652401845	3.9	-6110.018817558492	-6.268834843353283
34	-6110.012782734554	-6116.252630320704	4.0	-6110.012782734554	-6.239847586150208
35	-6109.901241641751	-6118.006521055143	4.1	-6109.901241641751	-8.105279413392248
36	-6109.881873014235	-6116.391928765885	4.1	-6109.881873014235	-6.510055751649897
37	-6109.844252024115	-6116.171647106586	4.2	-6109.844252024115	-6.327395082470575
38	-6109.788265181303	-6115.974390167592	4.3	-6109.788265181303	-6.186124986288847
39	-6109.763063099915	-6115.982862016308	4.0	-6109.763063099915	-6.2197989163933185
40	-6109.750406028232	-6116.125167384578	4.1	-6109.750406028232	-6.374761356346737
41	-6109.712756007763	-6116.06646456231	4.2	-6109.712756007763	-6.3537085545464596
42	-6109.616647628281	-6116.205050387816	4.3	-6109.616647628281	-6.588402759535736
43	-6109.512074456715	-6115.903210459879	4.4	-6109.512074456715	-6.3911360031638695
44	-6109.481313293535	-6116.784426910929	4.5	-6109.481313293535	-7.303113617394159
45	-6109.477500689467	-6117.3783780608	4.6	-6109.477500689467	-7.900877371333284
46	-6109.45604032612	-6115.80021346031	4.7	-6109.45604032612	-6.3441731341895995
47	-6109.45286008136	-6116.982256081368	4.8	-6109.45286008136	-7.52939600000842
48	-6109.427670596346	-6115.7307356499605	4.8	-6109.427670596346	-6.303065053614664
49	-6109.424857697797	-6115.695347215741	4.9	-6109.424857697797	-6.270489517943935
50	-6109.42438725933	-6116.206502831332	5.0	-6109.42438725933	-6.782115572002001
