Sample	posterior	ESS(posterior)	likelihood	prior
0	-7544.895940117415	N	-7542.10552219352	-2.790417923895152
1000	-6116.516009133059	2.0	-6113.1034746224905	-3.4125345105683076
2000	-6121.412761018571	3.0	-6113.928739537762	-7.484021480808261
3000	-6118.566916500409	4.0	-6114.157873054026	-4.40904344638298
4000	-6119.237290916682	5.0	-6115.178086490023	-4.059204426658788
5000	-6119.759440557734	6.0	-6115.9859611290585	-3.77347942867563
6000	-6120.277437669112	7.0	-6116.242679468398	-4.034758200714187
7000	-6119.479989866251	8.0	-6116.222892415665	-3.257097450585965
8000	-6119.566407262022	9.0	-6115.3938791634455	-4.172528098576745
9000	-6118.043084285198	9.0	-6114.217211886863	-3.825872398335222
10000	-6120.565737572324	10.0	-6114.322925265854	-6.242812306470552
11000	-6120.793514496257	11.0	-6116.477794294803	-4.3157202014539955
12000	-6118.400237830522	12.0	-6114.784953118074	-3.615284712448221
13000	-6117.977667992782	13.0	-6114.628744368787	-3.348923623995071
14000	-6119.468280695113	14.0	-6115.951817716283	-3.5164629788307655
15000	-6120.062606592474	15.0	-6116.2799425225	-3.7826640699742384
16000	-6116.917087173881	16.0	-6113.532912523163	-3.3841746507177093
17000	-6117.524385912574	17.0	-6114.2733782227115	-3.2510076898626634
18000	-6116.993794646653	18.0	-6113.846652429387	-3.147142217266556
19000	-6117.861730699383	7.0	-6114.144706728572	-3.717023970811332
20000	-6120.185170907729	9.5	-6116.075823931921	-4.109346975807858
21000	-6120.2414381006165	13.1	-6116.516670869839	-3.7247672307779336
22000	-6117.254994190016	21.0	-6113.473375955242	-3.781618234774262
23000	-6118.510828054257	22.0	-6113.310735876373	-5.200092177884189
24000	-6119.976937273391	23.0	-6116.112029820135	-3.864907453255905
25000	-6122.484458913947	24.0	-6119.343694652921	-3.140764261025444
26000	-6118.430682461124	25.0	-6114.893652817924	-3.537029643200584
27000	-6122.453126650115	14.3	-6118.795264116003	-3.6578625341128923
28000	-6117.608251374234	27.0	-6114.072736291959	-3.5355150822749977
29000	-6118.448264550279	27.0	-6114.391243671519	-4.0570208787602295
30000	-6117.063379077889	24.2	-6113.77142528192	-3.291953795969488
31000	-6119.501254529295	25.9	-6115.887694688869	-3.61355984042659
32000	-6119.9044059950575	28.0	-6116.043542592027	-3.8608634030304314
33000	-6120.148810546902	28.0	-6116.96669157992	-3.182118966981556
34000	-6118.937429011899	29.2	-6115.262919942356	-3.674509069543454
35000	-6117.765523370795	31.2	-6114.312642133253	-3.4528812375418445
36000	-6116.993867960668	29.5	-6113.726736251378	-3.2671317092900085
37000	-6119.354757764213	31.2	-6114.547851684658	-4.806906079554823
38000	-6118.355446145105	31.1	-6114.184479628663	-4.170966516441589
39000	-6116.868145501118	30.5	-6113.441822535986	-3.426322965132712
40000	-6118.754122741093	30.9	-6114.168841655645	-4.585281085447837
41000	-6118.35130054239	30.7	-6115.097532168826	-3.2537683735641565
42000	-6120.086519145421	32.2	-6116.426555460201	-3.6599636852202493
43000	-6117.64403007724	33.7	-6114.357859595687	-3.2861704815535613
