#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
0	-7610.215212731493	-7603.849120587249	-6.366092144244483	-7603.849120587249	1.0120555950141785	2.0	2.0	0.25	0.25	0.25	0.25	-2.635372076295909	1.0	0.5
1000	-6158.678235723409	-6148.315940410427	-10.362295312981622	-6148.315940410427	1.1080662139619353	2.0	2.0	0.25	0.25	0.25	0.25	-6.631575245033048	1.057172936244566	0.8179317501227338
2000	-6144.4932626144555	-6136.909160461194	-7.584102153261647	-6136.909160461194	1.1773614712588434	1.6025530146583975	1.8780894428333075	0.24186757820940483	0.25813242179059515	0.25	0.25	-4.0649905725277335	0.6798125721234398	0.34613075183189596
3000	-6147.450910161378	-6139.5607284252255	-7.890181736152156	-6139.5607284252255	1.2092230151378662	1.6025530146583975	1.8780894428333075	0.23977219689890805	0.26022780310109195	0.25	0.25	-4.371070155418243	0.9080124394105734	0.4321052230164573
4000	-6144.905426839936	-6134.9206644119295	-9.984762428006206	-6134.9206644119295	1.0341504914656667	0.9059197728235447	1.8780894428333075	0.239849931099576	0.26022780310109195	0.24992226579933205	0.25	-6.73904130026374	1.4338920443789227	0.7785672990488971
5000	-6129.645239949658	-6122.661827047686	-6.983412901973057	-6122.661827047686	1.0752373948564409	0.9059197728235447	1.4474863390683594	0.239849931099576	0.26022780310109195	0.24992226579933205	0.25	-3.914788761917374	0.8961302301103158	0.46704880782058505
6000	-6125.913036299316	-6118.2386917573285	-7.674344541987751	-6118.2386917573285	0.9525057486940551	0.8783337916927264	1.1821108728621097	0.239849931099576	0.25963900437851684	0.24992226579933205	0.2505887987225751	-4.722311847521731	0.2979354924288435	0.41912041092284746
7000	-6120.738377596243	-6113.6578041573	-7.080573438942596	-6113.6578041573	1.0469628270236586	0.8783337916927264	1.1821108728621097	0.239849931099576	0.25127854959364443	0.24992226579933205	0.2589492535074475	-4.128540744476576	1.0283661193606197	0.5505520647720255
8000	-6121.641754544751	-6114.66798383434	-6.973770710411239	-6114.66798383434	1.0220587986916971	0.8783337916927264	0.7219676738325241	0.239849931099576	0.25127854959364443	0.24992226579933205	0.2589492535074475	-4.174240984876909	0.6553962682196202	0.6810643821355549
9000	-6121.2806562313845	-6113.840774054795	-7.439882176590245	-6113.840774054795	1.0223581543153257	0.8783337916927264	0.7219676738325241	0.2337521144361439	0.25127854959364443	0.25041546579269414	0.2645538701775176	-4.640352451055914	1.9707370240976683	0.17872188562702143
10000	-6123.158259818093	-6115.122613399247	-8.035646418845978	-6115.122613399247	1.0554960985210047	0.8783337916927264	0.7219676738325241	0.2337521144361439	0.2603698883893731	0.25041546579269414	0.2554625313817889	-5.236116693311648	2.294286294260514	0.13417482208839432
11000	-6122.156061962741	-6114.961642059284	-7.194419903457049	-6114.961642059284	1.0092376179175686	0.7811126431826495	0.6548596766384969	0.2337521144361439	0.257982920943888	0.2528024332381792	0.2554625313817889	-4.434712635558049	1.805879206183312	0.23500050022721436
12000	-6122.09813354268	-6115.219003773814	-6.8791297688668065	-6115.219003773814	0.9893000079854906	0.7811126431826495	0.6548596766384969	0.22761627461858389	0.25224389329834335	0.2585414608837239	0.2615983711993489	-4.119422500967807	0.5762922668969103	0.07426419619659688
13000	-6121.227305215535	-6114.376806476997	-6.850498738537243	-6114.376806476997	1.0224726001618722	0.7811126431826495	0.6548596766384969	0.22761627461858389	0.25224389329834335	0.2585414608837239	0.2615983711993489	-4.090791470638243	0.2911372048858975	0.6657729975854554
14000	-6117.67642758493	-6111.434385924234	-6.242041660695291	-6111.434385924234	0.9388483482944918	0.8385182942433218	0.9086269725274226	0.22761627461858389	0.25224389329834335	0.2585414608837239	0.2615983711993489	-3.40291189339512	1.1342076459922548	0.266246688419896
15000	-6119.010640916769	-6112.807065201547	-6.20357571522241	-6112.807065201547	0.9678149651611619	0.8385182942433218	0.9086269725274226	0.22761627461858389	0.25224389329834335	0.2585414608837239	0.2615983711993489	-3.3644459479222393	1.2437114395048197	0.05979629600584733
