#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="8" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8002.455254065607	-8000.357429729835	-2.09782433577257	-8000.357429729835	1.2000979162318255	0.1	1.0498287941476239	0.006740759715949084	0.07776676890792532	-2.917188480893372	1.0	0.5
1000	-6063.539058940392	-6059.963807783471	-3.5752511569217456	-6059.963807783471	1.2726369816181797	0.12642962136588518	1.037277238234226	0.007684024932948474	0.08434495520832731	-4.217438705980323	0.757264627228944	0.5173969128567563
2000	-6063.2936022067925	-6060.493888589265	-2.799713617527598	-6060.493888589265	1.1074314760774602	0.026531068107616063	0.981218050346035	4.2618259649859536E-4	0.020931043845770072	-4.422338640376552	0.5724945002516396	0.7361033286063959
3000	-6062.367493825866	-6059.906073263268	-2.461420562598326	-6059.906073263268	1.1682793548920687	0.009437186931089532	1.0032877341197322	5.4733038447776964E-5	0.007371609621805602	-4.60470205000067	0.41983815695513904	0.2100846484236336
4000	-6058.771033840735	-6056.120114159242	-2.6509196814934484	-6056.120114159242	0.9935087518750897	0.060313519127623866	1.0524853876242022	0.0012830826816452856	0.0343911079480491	-3.806986985568302	0.5413662127116134	0.72339305009344
5000	-6061.5575845018475	-6057.2238334701315	-4.333751031715767	-6057.2238334701315	1.1899184419260211	0.10702706252955574	0.9895462096717588	0.0016937515339738886	0.04153506979311405	-5.1034484365767945	0.15968661987415797	0.6882671424779531
6000	-6060.342479864869	-6057.504742101076	-2.837737763793668	-6057.504742101076	1.1279851028751662	0.06516879004643489	1.0305889238916384	0.0011800197777139814	0.033535577409050936	-3.9454454137639026	0.23590276176834363	0.8149370884417252
7000	-6061.309298444079	-6057.9298384455105	-3.379459998568777	-6057.9298384455105	1.1347343603600322	0.11340691600659389	1.013299221406771	0.02093813422965588	0.13963429229391217	-4.105794382112025	0.23873567715684701	0.8532066224814774
8000	-6062.715722567942	-6057.977217575235	-4.738504992706867	-6057.977217575235	1.2605370089642802	0.30555165592913686	0.8746482419434932	0.005584451355778777	0.08306068962611698	-4.505391733390699	0.36015212831442944	0.7214285396405181
9000	-6062.673853043552	-6058.261235847039	-4.4126171965135	-6058.261235847039	1.3599876876093533	0.1590150184562435	0.9075384702686294	0.010598040334783695	0.10953341923499098	-4.863904685212576	0.29218261476898905	0.5766956909481133
10000	-6065.72473710873	-6061.491075945944	-4.233661162784757	-6061.491075945944	1.233881372296865	0.17474003416354408	0.9748066586101947	0.03374446569128382	0.1822068736079882	-4.600356869046706	0.21981611193903938	0.9026338462519734
11000	-6061.374929642713	-6057.339135815559	-4.03579382715419	-6057.339135815559	1.4290954558349995	0.10850401001301134	0.9303882460253852	0.014769003748869403	0.12261756371747934	-4.7953138952770855	0.14439095526024615	0.8328361347915387
12000	-6060.961670971042	-6056.581517881711	-4.380153089331058	-6056.581517881711	1.0165061577754677	0.19570507915773197	1.0766201378923212	0.03244523060354639	0.17740547415919025	-4.639784424561949	0.5272199814580341	0.845563587257159
13000	-6065.367431963478	-6061.124550958447	-4.242881005031383	-6061.124550958447	1.3359356436271335	0.16808935388661148	0.9318836755402241	0.01607277827784817	0.14727876054165356	-4.644856625608705	0.5651617505611226	0.15705495729270888
14000	-6065.453163393493	-6059.548660454901	-5.904502938591344	-6059.548660454901	1.6556746588963627	0.35617955381058125	0.6929504806898856	0.0215723709474284	0.19894559680633214	-5.468234470898537	0.7812872403872057	0.5172120031698146
