#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin_evidence" name="distribution" x="@birthRate.t:alignment_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa1.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa2.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin_evidence" id="treeLikelihood.alignment_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin_evidence">
#            <siteModel id="SiteModel.s:alignment_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin_evidence" kappa1="@kappa1.s:alignment_twin_evidence" kappa2="@kappa2.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-20789.112416479547	-20774.661254394476	-20789.112416479547	14.451162085069965	-20789.112416479547	0.023495784166721823	3.4931859497636712	2.9255380061624514	0.2710125886826573	0.2205732119984227	0.2556434882403802	0.2527707110785398	19.08147703899362	53.341353256431724
1	-18974.682932896783	-18968.11591814313	-18974.682932896783	6.567014753656568	-18974.682932896783	0.11615786672413964	3.172687104995521	0.7342797061685098	0.28433574112209176	0.20835480264377323	0.2615558286058051	0.2457536276283299	10.252739889282102	39.71708260854771
2	-17311.92632162342	-17297.168759459775	-17311.92632162342	14.757562163646476	-17311.92632162342	0.021463384739902232	1.4015057374539897	1.274202636823343	0.28749028624574613	0.20525536375718392	0.27253440020007114	0.23471994979699884	17.94572909565965	68.26004846309866
3	-16403.612083585485	-16393.984142629815	-16403.612083585485	9.627940955671853	-16403.612083585485	0.058853865876981104	2.4403603361682955	1.4704678500702333	0.27221933110883567	0.19515713728418219	0.2931504009971962	0.23947313060978603	13.314357440504912	31.262900371024504
4	-14229.605505401903	-14228.315679690357	-14229.605505401903	1.28982571154623	-14229.605505401903	0.2587066285291064	1.882298198780646	2.4850914124479186	0.25277782870448706	0.21133359977742536	0.29654247611164447	0.23934609540644325	5.162586542566082	5.368156404371608
5	-14021.275316290888	-14012.081817553082	-14021.275316290888	9.193498737807033	-14021.275316290888	0.05055341050477013	1.0777959250545095	1.3252172452736162	0.2605103324947794	0.20440401536315836	0.2900019011904713	0.24508375095159107	12.273168305067223	31.10573017032687
6	-10030.249708125935	-10032.573431464529	-10030.249708125935	-2.3237233385937506	-10030.249708125935	0.4920804464447077	2.2935720593397466	1.0240416990034478	0.2513879652543911	0.21287493503471233	0.2865066778660514	0.24923042184484534	1.1285204897769257	4.137166672145675
7	-9771.802975622988	-9780.622323619456	-9771.802975622988	-8.819347996467778	-9771.802975622988	1.081109870152738	1.7880920878427746	2.3997771018052734	0.26124344268654726	0.20225126851173225	0.2818274215218331	0.25467786727988756	-5.017549290078149	1.0915163178272245
8	-9680.737583422215	-9700.379330276319	-9680.737583422215	-19.64174685410324	-9680.737583422215	3.6897722526812875	2.9006118723317726	7.8370365768847	0.25169477325716116	0.21079680803212614	0.2917651024354868	0.24574331627522605	-13.873671894460509	0.3163428820871186
9	-9566.173670695885	-9580.133375871108	-9566.173670695885	-13.959705175222773	-9566.173670695885	2.006074580427491	1.7553883352208532	6.682289167113252	0.2443079635614362	0.21946771219033884	0.29611170513360535	0.24011261911461979	-8.893304090345364	0.5805922408501769
10	-9500.412897456288	-9515.737242863774	-9500.412897456288	-15.324345407485835	-9500.412897456288	4.031720219372041	1.0162879580064286	1.1998292321464183	0.2443079635614362	0.21204630840712854	0.3093031053403911	0.2343426226910443	-12.318076187430545	0.4277348251677237
11	-9473.320948970295	-9478.24792977161	-9473.320948970295	-4.926980801315956	-9473.320948970295	0.5678431165266647	0.7626433208561383	1.1390946971202114	0.23943948105432308	0.21560726248867101	0.3092823888154682	0.23567086764153786	-2.024557302669286	3.913443259074919
12	-9402.563947149498	-9418.214215753575	-9402.563947149498	-15.650268604076551	-9402.563947149498	4.4920751871618565	0.5835307676470894	0.8726784493272023	0.22519773207883217	0.19414774209696395	0.32463130630928	0.256023219514924	-12.870265153182016	0.29902322871486886
13	-9380.98556460915	-9401.744858347354	-9380.98556460915	-20.759293738205802	-9380.98556460915	10.53723297986198	1.926577920464308	0.8432360958144148	0.2204866269133219	0.21364977782725875	0.31435531046821874	0.2515082847912008	-17.51354023032742	0.20896854846000384
14	-9199.764316297138	-9204.624092441745	-9199.764316297138	-4.859776144606917	-9199.764316297138	0.6665744436118473	1.0267851541259767	0.9897137142064829	0.20993552137453653	0.2235988261130783	0.323418445383168	0.24304720712921732	-1.9295606490237716	1.7754964766719525
15	-9075.577641385562	-9084.001293572494	-9075.577641385562	-8.423652186931264	-9075.577641385562	1.1243083848689768	1.4661514957777422	1.2593708595266813	0.20769186940252066	0.20577660708095802	0.32108940889925497	0.2654421146172664	-5.214846104851029	0.9839168525355347
16	-9050.135138262141	-9058.386603509734	-9050.135138262141	-8.251465247592062	-9050.135138262141	1.2233543159154416	1.1453649767847465	0.37766690766869754	0.1855034244005264	0.20806084006298886	0.3141368881289388	0.2922988474075459	-5.319677440340445	1.109265188166868
17	-9022.003103779163	-9033.184730339892	-9022.003103779163	-11.181626560729192	-9022.003103779163	1.3408782659373033	1.645263448771658	0.7060419265012616	0.19296755215834016	0.22023234940561176	0.30518102834925626	0.28161907008679177	-8.085426416358441	2.036049938239586
18	-9008.87173969781	-9016.94459304874	-9008.87173969781	-8.072853350929384	-9008.87173969781	1.1165775415550625	1.8489663470908555	1.418854928701104	0.2101410827936859	0.21490009987120173	0.2978877333814308	0.2770710839536814	-4.6414259177786015	1.429855755397038
19	-8937.975793490714	-8945.077026745652	-8937.975793490714	-7.1012332549378545	-8937.975793490714	0.9088102188787591	1.3060245170593707	0.8078213415731932	0.20872880405970798	0.20659842919670915	0.29898570565034027	0.28568706109324254	-4.120397629223595	1.1332975003536783
20	-8906.347571387327	-8913.285916606239	-8906.347571387327	-6.9383452189125645	-8906.347571387327	0.8742081468836899	0.8989651718861384	1.0534517638168184	0.20872880405970798	0.20467776514831446	0.30197797532586484	0.28461545546611267	-4.029281072699486	1.3312758528072222
21	-8886.311947350952	-8894.66374883181	-8886.311947350952	-8.351801480858008	-8886.311947350952	1.2427227991903558	1.4260817035342235	0.8834978063398866	0.20040569209265693	0.23303062670910066	0.3070601415364576	0.2595035396617846	-5.299232253065917	1.2851380368634087
22	-8875.608933092306	-8883.368865924043	-8875.608933092306	-7.759932831737354	-8875.608933092306	0.9424061035469274	0.45240317549499637	0.7638699437797665	0.19436638538437634	0.23074468890614516	0.30232388168351204	0.27256504402596626	-4.993741830966396	1.9814248871923608
23	-8871.852599968468	-8878.439668230418	-8871.852599968468	-6.587068261949966	-8871.852599968468	0.9130566609158021	0.6504411509644455	1.021084737320662	0.19140627867235593	0.23730362825766535	0.30396995018376444	0.26732014288621414	-3.750894037618434	1.3437719069124585
24	-8858.591993312368	-8866.247699985886	-8858.591993312368	-7.655706673519293	-8858.591993312368	1.0502672960029145	0.7008962382641528	1.135327345829206	0.19174024846795054	0.23326216537653396	0.29813125264045165	0.2768663335150637	-4.768220536952747	1.3771359960865268
25	-8854.364133248859	-8862.995222524949	-8854.364133248859	-8.631089276090824	-8854.364133248859	1.0383449823111726	0.36834723848750034	0.8008155704874563	0.2093306299272487	0.2391024921177788	0.30001995172608864	0.25154692622888364	-5.811456682974539	0.6532413282662926
26	-8848.871362052114	-8855.683456461196	-8848.871362052114	-6.812094409081771	-8848.871362052114	0.9522274121364211	0.5033442876840084	0.8247336539748604	0.22104928401222107	0.24311375354824277	0.2857352351250498	0.25010172731448616	-4.041749551490084	1.7048479956140103
27	-8840.209390098526	-8847.956218064932	-8840.209390098526	-7.746827966406165	-8840.209390098526	0.9465039654991978	1.0063905734163592	1.3847528303541814	0.23442426977762357	0.24059994066325668	0.2628494759339255	0.262126313625194	-4.669261134251981	1.587218625495098
28	-8840.104921232549	-8847.441767085957	-8840.104921232549	-7.336845853407858	-8840.104921232549	0.9098291406666067	0.5775759256637534	1.065781267922473	0.2377229025727518	0.2535874998196327	0.264508383213032	0.24418121439458326	-4.489638917791472	2.1115868356359657
29	-8833.056450047665	-8841.414233043619	-8833.056450047665	-8.357782995954013	-8833.056450047665	1.3461553244613014	1.1973310369470604	0.7955417431209347	0.23315321024684948	0.2663398016650496	0.264508383213032	0.23599860487506866	-5.424007352947103	1.4188636319342218
30	-8811.53660372146	-8820.058515803958	-8811.53660372146	-8.52191208249749	-8811.53660372146	1.2038796106128977	0.7010744715501719	1.3550973891607065	0.22971162470363587	0.2652789413093468	0.2611697128340191	0.24383972115299793	-5.5462957767033805	2.0337947884033025
31	-8809.426831598314	-8817.359177114866	-8809.426831598314	-7.932345516552861	-8809.426831598314	1.1225154832614366	0.7848213602738416	1.1992952748613337	0.22971162470363587	0.25889447032122	0.26799705477434016	0.2433968502008037	-5.000629188325368	1.3545708808497856
32	-8805.605343821175	-8812.751414558523	-8805.605343821175	-7.146070737348543	-8805.605343821175	0.8711365146291388	0.8549347243173436	1.1992952748613337	0.2318721669885954	0.25800505837216015	0.2658365124893806	0.24428626214986357	-4.194475822874765	1.9648181822136779
33	-8804.483606379574	-8813.4005934061	-8804.483606379574	-8.916987026526106	-8804.483606379574	0.9924586122395425	0.8549347243173436	0.8410913513091496	0.2318721669885954	0.2604089443757143	0.26358749659764735	0.24413139203804268	-6.094101555091765	2.355253382939052
34	-8799.928967875661	-8807.754141597696	-8799.928967875661	-7.8251737220336	-8799.928967875661	1.1156824236720042	0.7199182878040427	0.9874933100562713	0.24758450061666457	0.2546187664548979	0.26279792144686165	0.2349988114815756	-4.989235348415182	1.1496833634555053
35	-8793.423412799148	-8802.316275085685	-8793.423412799148	-8.892862286536541	-8793.423412799148	1.0384912757827525	0.9115760160493094	0.9874933100562713	0.25595722673934224	0.2428800054651832	0.26104981704021707	0.24011295075525718	-6.0037643808464995	0.5771574489507447
36	-8791.310724935882	-8798.91666370007	-8791.310724935882	-7.60593876418936	-8791.310724935882	1.0605905431283038	0.8269300050646918	0.9169176872794313	0.26264349394473535	0.2459976573410123	0.26045390580988503	0.23090494290436703	-4.767449028748117	1.6046130318193546
37	-8791.263543451996	-8798.960094638549	-8791.263543451996	-7.696551186553144	-8791.263543451996	1.1013550677850812	0.7722540118477154	1.1287924782493692	0.2654094262287755	0.24626984158083354	0.25741578928602366	0.23090494290436703	-4.795742495196451	1.560362989091263
38	-8790.934314031418	-8798.62235467577	-8790.934314031418	-7.688040644353258	-8790.934314031418	1.0160492089871123	1.0132408996225	1.1420661246708774	0.26254599850419763	0.24589871941281413	0.257433285794166	0.23412199628882197	-4.70561683521643	1.9138029307472864
39	-8790.340050356337	-8798.733851078396	-8790.340050356337	-8.393800722059298	-8790.340050356337	1.169839772078841	0.5545747496126715	0.9102596492868744	0.2524362909091885	0.24426306044818524	0.2664700946194094	0.23683055402321654	-5.601672437697016	2.0740209796240725
40	-8788.828773172394	-8796.777419095912	-8788.828773172394	-7.94864592351683	-8788.828773172394	0.9691504607349961	0.7977703654651677	0.8990045392656157	0.2524362909091885	0.24426306044818524	0.2664700946194094	0.23683055402321654	-5.1241842298344	2.6089633115695277
41	-8788.433356505004	-8795.536360805636	-8788.433356505004	-7.103004300631973	-8788.433356505004	0.9536894426084492	0.7977703654651677	0.8990045392656157	0.24130330558407623	0.24652101679172567	0.2664700946194094	0.24570558300478837	-4.278542606949543	1.101116832463005
42	-8787.090575214988	-8794.43911900647	-8787.090575214988	-7.348543791483108	-8787.090575214988	1.0174490080943603	0.6942105636758812	0.8372992396197703	0.25635103124688047	0.23990483570351345	0.25592213562589017	0.24782199742371555	-4.566981261293548	0.931336231353504
43	-8785.859731747452	-8793.397306071152	-8785.859731747452	-7.5375743237004995	-8785.859731747452	0.9550747921561471	0.8426846925702399	0.9130145457759203	0.24788731127412156	0.24544302776925947	0.2573799243906213	0.24928973656599734	-4.6957648485527015	0.8321516306782679
44	-8785.544419672193	-8792.918632598161	-8785.544419672193	-7.374212925968355	-8785.544419672193	1.1403643909574694	0.7796803457914102	0.9130145457759203	0.24500796705463285	0.24544302776925947	0.2617950907403268	0.24775391443578057	-4.549933726604996	1.1483548675357895
45	-8785.18268345912	-8792.272635027102	-8785.18268345912	-7.089951567983351	-8785.18268345912	1.0289575119993597	0.8196954605071581	0.9130145457759203	0.2610906686824359	0.22823726721878437	0.26369787773869874	0.24697418636008067	-4.254824877464852	1.5272363260521256
46	-8784.721754248792	-8791.893369895874	-8784.721754248792	-7.171615647081031	-8784.721754248792	1.0322322196424047	0.8196954605071581	0.9130145457759203	0.2500646704147875	0.24591181778324658	0.2643225548723937	0.23970095692957194	-4.3364889565625315	1.1905327701941915
47	-8784.18210618675	-8791.189459553145	-8784.18210618675	-7.007353366394543	-8784.18210618675	1.0108563621013087	0.8531774618670732	0.9130145457759203	0.25251948122048046	0.24426590641014262	0.2655566417626456	0.23765797060673108	-4.162395566936846	1.1427209565429963
48	-8783.660063203164	-8790.772660734474	-8783.660063203164	-7.112597531309006	-8783.660063203164	0.9709312224578952	0.8531774618670732	0.9130145457759203	0.2578297877485609	0.24117886390157336	0.26189726354508286	0.23909408480478256	-4.267639731851308	1.0440942839627956
49	-8783.109106423226	-8790.834480696225	-8783.109106423226	-7.7253742729997255	-8783.109106423226	1.0034265051935192	0.8531774618670732	0.9130145457759203	0.251259793964748	0.24117886390157336	0.26374969893001315	0.24381164320366516	-4.880416473542028	2.156965287765486
50	-8782.781681934504	-8789.947481021378	-8782.781681934504	-7.165799086872694	-8782.781681934504	1.0187604732392055	0.7337026149873842	0.9495816035613772	0.25300189300763143	0.23943676485868998	0.26374969893001315	0.24381164320366516	-4.340194286920964	1.4422568947892982
51	-8782.613343671097	-8789.777364620712	-8782.613343671097	-7.164020949614646	-8782.613343671097	1.0388832663579834	0.819432253343636	0.9495816035613772	0.2498320979459011	0.23318415913966983	0.26878554450376674	0.24819819841066204	-4.316625577340466	1.5979665408234138
52	-8782.592597240251	-8790.296474987228	-8782.592597240251	-7.703877746977071	-8782.592597240251	1.0328952439905135	0.819432253343636	0.9495816035613772	0.2498320979459011	0.23316649745591886	0.27525443869833294	0.24174696589984684	-4.856482374702891	2.0894269532381955
53	-8782.330193272683	-8789.607313588847	-8782.330193272683	-7.277120316165363	-8782.330193272683	1.0692157127083315	0.819432253343636	0.9495816035613772	0.2498320979459011	0.2338480860544237	0.2745728500998281	0.24174696589984684	-4.429724943891183	1.52624158903883
54	-8781.973015654165	-8789.353452017682	-8781.973015654165	-7.380436363517055	-8781.973015654165	1.0423305758362333	0.8040156687351581	0.9495816035613772	0.2498320979459011	0.2338480860544237	0.26983672294646976	0.2464830930532052	-4.5373423360841745	1.7402761339364932
55	-8781.911612896023	-8789.213274374093	-8781.911612896023	-7.301661478070552	-8781.911612896023	1.0552247865881015	0.8040156687351581	0.9495816035613772	0.25038583990241586	0.24244890221563783	0.26983672294646976	0.2373285349354763	-4.458567450637672	1.45840274889993
56	-8781.624922982977	-8789.38114691111	-8781.624922982977	-7.756223928133232	-8781.624922982977	1.0422129781175125	0.8040156687351581	0.9495816035613772	0.24784596141950002	0.24172084061524549	0.26726042426772595	0.24317277369752832	-4.913129900700351	2.0604561426342753
57	-8781.534181360179	-8789.140228892073	-8781.534181360179	-7.606047531894462	-8781.534181360179	1.0194646002686716	0.8040156687351581	0.9495816035613772	0.2473635777020715	0.242203224332674	0.26726042426772595	0.24317277369752832	-4.762953504461581	1.9448252894907465
58	-8781.411958915483	-8788.610978275648	-8781.411958915483	-7.199019360164789	-8781.411958915483	1.0343236564359921	0.8200462543822613	0.9495816035613772	0.25504366885509827	0.242203224332674	0.2669023351722784	0.23585077163994908	-4.351449625171194	1.4691381943573512
59	-8781.410179497007	-8789.107203725573	-8781.410179497007	-7.697024228566125	-8781.410179497007	1.0309729845930624	0.7468539106997089	1.0014695916833933	0.2594861783314647	0.23776071485630754	0.2669023351722784	0.23585077163994908	-4.850146429707605	0.8319864129782157
60	-8781.325821438491	-8788.484609639572	-8781.325821438491	-7.1587882010809505	-8781.325821438491	1.0339862946820324	0.7468539106997089	1.0014695916833933	0.2594861783314647	0.23575932843635553	0.26492866098234014	0.2398258322498394	-4.311910402222431	1.3116138381885694
61	-8781.288768210095	-8788.509125690913	-8781.288768210095	-7.220357480816396	-8781.288768210095	1.024732817032389	0.7468539106997089	0.9666931596866172	0.2594861783314647	0.23575932843635553	0.26492866098234014	0.2398258322498394	-4.385836542586208	1.1252524082715596
62	-8781.03556391206	-8788.25604870637	-8781.03556391206	-7.220484794307941	-8781.03556391206	1.0235638755167693	0.7468539106997089	0.974829640035191	0.2545934891058266	0.2379994943982671	0.2705110647751184	0.2368959517207877	-4.38310571023387	1.1057464639216918
63	-8781.017647478877	-8788.142604429388	-8781.017647478877	-7.124956950510908	-8781.017647478877	1.034751227979267	0.7468539106997089	0.974829640035191	0.2545934891058266	0.2379994943982671	0.2705110647751184	0.2368959517207877	-4.287577866436838	1.3669267130007314
64	-8780.977198354414	-8789.549562091706	-8780.977198354414	-8.572363737292239	-8780.977198354414	1.0408260749119649	0.7468539106997089	0.974829640035191	0.2545934891058266	0.23982969934274803	0.26868085983063744	0.2368959517207877	-5.734984653218169	2.470185894867204
65	-8780.960333090186	-8788.167828334475	-8780.960333090186	-7.207495244289353	-8780.960333090186	1.040117174638986	0.7468539106997089	0.974829640035191	0.2545934891058266	0.23982969934274803	0.26868085983063744	0.2368959517207877	-4.370116160215282	1.1784442445723546
66	-8780.94388264698	-8788.492219327174	-8780.94388264698	-7.548336680194061	-8780.94388264698	1.0399623008220569	0.7884766283729429	0.9914347483149637	0.2545934891058266	0.2367459694880597	0.26868085983063744	0.23997968157547603	-4.694727319481913	1.8467672284042584
