Sample	posterior	ESS(posterior)	likelihood	prior	
0	-8798.91666370007	7.2	-8791.310724935882	-7.60593876418936	
1	-8798.91666370007	7.2	-8791.310724935882	-7.60593876418936	
2	-8798.960094638549	7.3	-8791.263543451996	-7.696551186553144	
3	-8798.960094638549	7.3	-8791.263543451996	-7.696551186553144	
4	-8798.960094638549	7.3	-8791.263543451996	-7.696551186553144	
5	-8798.62235467577	7.5	-8790.934314031418	-7.688040644353258	
6	-8798.733851078396	7.8	-8790.340050356337	-8.393800722059298	
7	-8796.777419095912	7.9	-8788.828773172394	-7.94864592351683	
8	-8793.397306071152	8.4	-8785.859731747452	-7.5375743237004995	
