Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-20789.112416479547	-20774.661254394476	N	-20789.112416479547	14.451162085069965
1	-18974.682932896783	-18968.11591814313	2.0	-18974.682932896783	6.567014753656568
2	-17311.92632162342	-17297.168759459775	3.0	-17311.92632162342	14.757562163646476
3	-16403.612083585485	-16393.984142629815	4.0	-16403.612083585485	9.627940955671853
4	-14229.605505401903	-14228.315679690357	3.0	-14229.605505401903	1.28982571154623
5	-14021.275316290888	-14012.081817553082	2.6	-14021.275316290888	9.193498737807033
6	-10030.249708125935	-10032.573431464529	2.7	-10030.249708125935	-2.3237233385937506
7	-9771.802975622988	-9780.622323619456	2.7	-9771.802975622988	-8.819347996467778
8	-9680.737583422215	-9700.379330276319	2.6	-9680.737583422215	-19.64174685410324
9	-9566.173670695885	-9580.133375871108	2.5	-9566.173670695885	-13.959705175222773
10	-9500.412897456288	-9515.737242863774	2.7	-9500.412897456288	-15.324345407485835
11	-9473.320948970295	-9478.24792977161	2.6	-9473.320948970295	-4.926980801315956
12	-9402.563947149498	-9418.214215753575	2.7	-9402.563947149498	-15.650268604076551
13	-9380.98556460915	-9401.744858347354	2.8	-9380.98556460915	-20.759293738205802
14	-9199.764316297138	-9204.624092441745	2.9	-9199.764316297138	-4.859776144606917
15	-9075.577641385562	-9084.001293572494	3.0	-9075.577641385562	-8.423652186931264
16	-9050.135138262141	-9058.386603509734	3.2	-9050.135138262141	-8.251465247592062
17	-9022.003103779163	-9033.184730339892	3.4	-9022.003103779163	-11.181626560729192
18	-9008.87173969781	-9016.94459304874	3.5	-9008.87173969781	-8.072853350929384
19	-8937.975793490714	-8945.077026745652	4.2	-8937.975793490714	-7.1012332549378545
20	-8906.347571387327	-8913.285916606239	4.4	-8906.347571387327	-6.9383452189125645
21	-8886.311947350952	-8894.66374883181	4.6	-8886.311947350952	-8.351801480858008
22	-8875.608933092306	-8883.368865924043	4.7	-8875.608933092306	-7.759932831737354
23	-8871.852599968468	-8878.439668230418	4.9	-8871.852599968468	-6.587068261949966
24	-8858.591993312368	-8866.247699985886	5.0	-8858.591993312368	-7.655706673519293
25	-8854.364133248859	-8862.995222524949	5.2	-8854.364133248859	-8.631089276090824
26	-8848.871362052114	-8855.683456461196	5.3	-8848.871362052114	-6.812094409081771
27	-8840.209390098526	-8847.956218064932	5.5	-8840.209390098526	-7.746827966406165
