#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="8" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-7123.268512253686	-7115.433431229566	-7.835081024120224	-7115.433431229566	2.704446119268369	0.1	1.0540233312278449	0.006884771096968732	0.07603209576286925	-8.654445169241026	1.0	0.5
1000	-6680.588768896519	-6677.527069656192	-3.0616992403262198	-6677.527069656192	1.09092635909243	0.02747551649574666	1.0146010095452378	0.0013830236231282837	0.03665930166974047	-4.665746965526223	0.9836145905930334	0.34344254149642767
2000	-6679.3004046468095	-6677.115317274327	-2.185087372482719	-6677.115317274327	1.1015099234908365	0.00646942155003997	1.0024320661137096	4.118535436209757E-5	0.0063979199243828395	-4.50997371313969	0.5938514594506925	0.3192950540145569
3000	-6681.386248487473	-6678.2349775067705	-3.1512709807017374	-6678.2349775067705	1.053139608973546	0.028485263059847915	0.9819977394028772	4.7643294864623025E-4	0.02218632767130128	-4.736058139747783	0.8465767428237517	0.38316566879608327
4000	-6683.572728809759	-6677.466079883347	-6.106648926410932	-6677.466079883347	1.1360319151446918	0.14776087939997748	0.9585415107547558	0.00817862369728089	0.09524558948043899	-6.621200136190684	1.1464516954662178	0.5754864778026482
5000	-6680.959537885766	-6677.43597721823	-3.523560667536132	-6677.43597721823	1.2244585887651285	0.04154593567455218	0.9870983626780689	0.001281307350801596	0.03644006142780783	-4.900387764121762	1.0856154281312473	0.10598070501602187
6000	-6681.250384859751	-6678.5357037580525	-2.7146811016986883	-6678.5357037580525	1.034591151542088	0.005195172528789929	0.9987662732357852	2.4969467430945913E-5	0.004996741569202698	-5.143895946894023	0.38029258671712335	0.1981573370264206
7000	-6681.49862725651	-6679.245244100691	-2.2533831558192734	-6679.245244100691	1.099900423000647	0.00722609634410114	1.0024264558231006	6.524014772914395E-5	0.008057059888868673	-4.525362266447723	0.7080828576976315	0.4242765797417339
8000	-6682.289584780348	-6679.589554124893	-2.7000306554551305	-6679.589554124893	1.1008748150964809	0.0041331117540857115	0.9990927922933949	1.2953574881312375E-5	0.0036028515174425413	-5.237319631735452	0.37514996262005107	0.6824559489407173
9000	-6681.744737894985	-6680.189549301091	-1.5551885938939396	-6680.189549301091	1.010308566656951	7.7419304365439E-4	0.9994583826433604	2.568549622576354E-7	5.070942322432605E-4	-4.872426555687441	0.3619221590371084	0.5157679462856187
10000	-6679.396342660525	-6677.584172080333	-1.8121705801918364	-6677.584172080333	1.1166009666378616	9.596193259067767E-4	1.0001210964011218	5.864022226336145E-7	7.657326857672981E-4	-5.03006802759076	0.2020550017810782	0.7715815367594515
11000	-6683.157625989641	-6679.563121184797	-3.594504804844654	-6679.563121184797	1.3639131743870556	0.011386264684160341	0.9994616829224257	1.0953390684247952E-4	0.010470960314464019	-5.64624263414452	0.2749101329134072	0.7982961294243208
12000	-6680.951022576441	-6678.1736508988315	-2.7773716776094592	-6678.1736508988315	1.1101003853155935	0.0069396985169382286	0.9980689293141269	4.771589684968957E-5	0.006926105847719713	-5.068719584704995	0.3877739683406194	0.6668422072733337
13000	-6685.258682548126	-6681.76881436211	-3.489868186016065	-6681.76881436211	1.2875569188826814	0.016430658267834818	1.0064383983211742	1.9623956101815418E-4	0.013904703194562636	-5.359549681273003	0.32740565151058815	0.6630519822145051
14000	-6682.942853775676	-6678.9984322071405	-3.944421568535321	-6678.9984322071405	1.2296819663164376	0.018912883282845797	0.9866102751314981	1.7329949303943761E-4	0.013327671030254869	-5.742827712884686	0.4817307195429059	0.7356458875512554
