Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6775.782825428527	6.5	-6757.879202379601	-17.903623048925798	
1	-6775.782825428527	6.5	-6757.879202379601	-17.903623048925798	
2	-6775.0656382527095	6.7	-6756.367967465012	-18.697670787697618	
3	-6773.547794364675	7.0	-6755.048012779997	-18.499781584677034	
4	-6773.547794364675	7.0	-6755.048012779997	-18.499781584677034	
5	-6772.849908360701	7.3	-6754.701615496449	-18.148292864252163	
6	-6772.849908360701	7.3	-6754.701615496449	-18.148292864252163	
7	-6772.849908360701	7.3	-6754.701615496449	-18.148292864252163	
8	-6772.739428911058	9.4	-6753.795673004452	-18.94375590660678	
9	-6770.517512837905	10.0	-6752.390830800419	-18.12668203748575	
