#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="8" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-7101.639969087348	-7095.110251429615	-6.529717657732545	-7095.110251429615	2.704446119268369	0.1	1.0540233312278449	0.006884771096968732	0.07603209576286925	-7.3490818028533464	1.0
1000	-6673.333503502943	-6669.908363476953	-3.4251400259899283	-6669.908363476953	1.1430551870454817	0.09084649636545496	1.0625688103745081	0.010941465507320797	0.10051994848605188	-4.312670416714629	1.2133302039286749
2000	-6672.844098805984	-6668.97749587468	-3.8666029313035035	-6668.97749587468	1.294163888922118	0.10271982597966657	1.0607462533761336	0.010923923748984779	0.09881028977735352	-4.6664904332687165	1.1072605853473692
3000	-6671.221519007491	-6667.107937613387	-4.113581394104288	-6667.107937613387	1.1789448286654607	0.11430427644798713	0.9291754165600047	0.013967224501406663	0.12308792115371678	-4.833937359479094	1.08995115053945
4000	-6672.714589322787	-6668.984278230787	-3.7303110920000337	-6668.984278230787	1.1129288937856672	0.02009638385211265	1.0000100028367573	3.0225729087915963E-4	0.017358542338736096	-5.497673566288592	1.6197740221704688
5000	-6671.765290098076	-6668.810100516833	-2.955189581242914	-6668.810100516833	1.042429951526495	0.012574562589580812	0.9881141654515153	2.0208504618103633E-4	0.014293190868826886	-4.9581128101533745	0.5024535341547389
6000	-6675.327498944775	-6672.327480767935	-3.000018176838957	-6672.327480767935	1.2140979402299736	0.01775469986193418	0.9984906086025224	1.53360561171049E-4	0.012367258374761709	-4.830551104360193	1.0979749605378943
7000	-6671.24888235831	-6668.139943808634	-3.108938549676172	-6668.139943808634	1.1049210886473206	0.0230387739377842	0.9879121161529101	8.88946633171575E-4	0.029748943489857887	-4.805687944427195	1.3316552396228023
8000	-6671.180692104792	-6668.705144597863	-2.4755475069289408	-6668.705144597863	1.2700104762990434	0.006212476679847702	1.0036607299226652	2.153086825202031E-5	0.00462276609954171	-4.819765313565709	0.7304621633755033
9000	-6669.886070035532	-6667.357578624903	-2.528491410628563	-6667.357578624903	1.0558146733808462	0.0012204289612773266	0.999493595571742	6.342157619758208E-7	7.966712322156612E-4	-5.635016097025509	0.3675978414037666
10000	-6667.605094615708	-6666.846960676148	-0.7581339395602353	-6666.846960676148	1.057398738250404	3.0821516558982026E-4	1.0000073874203153	1.1073723591111344E-7	3.327888419566935E-4	-4.500631104547196	1.1891057011812247
11000	-6670.873434661939	-6669.259985451562	-1.6134492103778935	-6669.259985451562	1.2081677149245391	2.7586682027043197E-4	0.999747306764874	1.2209024107522713E-8	1.1052339648307132E-4	-5.407080191772627	1.3679498025748458
12000	-6668.810380490876	-6667.725270309102	-1.0851101817740765	-6667.725270309102	1.2187677964017423	3.3600178562167416E-4	0.999959272893088	6.941881865259501E-8	2.635011278706239E-4	-4.78779362153462	0.6601571301283246
13000	-6671.339914079081	-6670.46513254433	-0.8747815347509489	-6670.46513254433	1.1705153133678199	9.384071050298243E-5	1.0000286795157307	2.210854886759819E-9	4.701875026660665E-5	-5.165347418434827	0.4855691495654543
14000	-6668.4135058443735	-6668.634766876884	0.2212610325105686	-6668.634766876884	1.2145303934181204	2.354101435662491E-5	0.999988114754092	4.634713988913122E-10	2.1528605498863754E-5	-4.706155180488713	0.9692299318395147
15000	-6668.509640428457	-6668.70605230729	0.19641187883264788	-6668.70605230729	1.2407368495492188	2.1512843995154025E-5	0.9999894208236004	1.8579600941694683E-10	1.363091677560579E-5	-4.772488940818932	0.8127511969605948
16000	-6668.207058001855	-6669.46216737881	1.255109376954537	-6669.46216737881	1.1347476403935468	2.1811365520115025E-6	0.9999993290043957	5.104835145349475E-12	2.2593893166622096E-6	-4.767607450267966	0.6727667108024363
17000	-6666.012760863747	-6667.0379762587345	1.025215394987688	-6667.0379762587345	1.0503433453372635	4.470300909596848E-7	1.0000001867026211	1.5892962713371014E-13	3.986597362394689E-7	-5.727228676653717	0.35087583903955194
18000	-6666.6630762058785	-6666.865380551549	0.2023043456697593	-6666.865380551549	1.131029585618331	3.7984001827508835E-5	0.9999942513533762	1.745621873932268E-9	4.1780834037196996E-5	-4.50480907777127	0.7334390131263833
19000	-6670.645758130104	-6669.390938356793	-1.2548197733101132	-6669.390938356793	1.2644629305133617	3.90168319378738E-4	0.9999320328978973	6.744345555937426E-8	2.5970804595465115E-4	-4.888549184489408	0.8852551113573499
20000	-6668.9701330442385	-6667.142502948866	-1.8276300953724696	-6667.142502948866	1.0728345701469233	0.0018678360607610653	1.0007780958420027	2.684421693603E-6	0.0016371278622243875	-4.736523365772	1.4100077837895126
21000	-6668.796908337713	-6667.025631542701	-1.7712767950112265	-6667.025631542701	1.059956238496425	0.0010152074398506654	0.9994281305241695	5.960337814575921E-7	7.723655842225026E-4	-4.96310283677241	1.5894349203984224
22000	-6669.122406604423	-6667.188167392192	-1.9342392122315308	-6667.188167392192	1.0495809293993612	0.0030005544317730586	0.9993960984314225	5.741482540232305E-6	0.0023963824271068003	-4.6219292745067895	0.6176322136418984
